"Date","ISO","Country","Scale","Note"
16/02/2020,"CHN","China","Localized",
16/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
17/02/2020,"CHN","China","Localized",
17/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
18/02/2020,"CHN","China","Localized",
18/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
19/02/2020,"CHN","China","Localized",
19/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
20/02/2020,"CHN","China","Localized",
20/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
21/02/2020,"CHN","China","National",
21/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
22/02/2020,"CHN","China","National",
22/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
23/02/2020,"CHN","China","National",
23/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
24/02/2020,"CHN","China","National",
24/02/2020,"ITA","Italy","Localized",
24/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
24/02/2020,"SMR","San Marino","National",
25/02/2020,"CHN","China","National",
25/02/2020,"ITA","Italy","Localized",
25/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
25/02/2020,"SMR","San Marino","National",
26/02/2020,"BHR","Bahrain","National",
26/02/2020,"CHN","China","National",
26/02/2020,"IRN","Iran (Islamic Republic of)","National",
26/02/2020,"ITA","Italy","Localized",
26/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
26/02/2020,"SMR","San Marino","National",
27/02/2020,"BHR","Bahrain","National",
27/02/2020,"CHN","China","National",
27/02/2020,"IRN","Iran (Islamic Republic of)","National",
27/02/2020,"ITA","Italy","Localized",
27/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
27/02/2020,"PAK","Pakistan","Localized",
27/02/2020,"SMR","San Marino","National",
28/02/2020,"BHR","Bahrain","National",
28/02/2020,"CHN","China","National",
28/02/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
28/02/2020,"IRN","Iran (Islamic Republic of)","National",
28/02/2020,"IRQ","Iraq","Localized",
28/02/2020,"ITA","Italy","Localized",
28/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
28/02/2020,"PAK","Pakistan","Localized",
28/02/2020,"SMR","San Marino","National",
28/02/2020,"USA","United States of America","Localized",
28/02/2020,"VNM","Viet Nam","Localized",
29/02/2020,"BHR","Bahrain","National",
29/02/2020,"CHN","China","National",
29/02/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
29/02/2020,"IRN","Iran (Islamic Republic of)","National",
29/02/2020,"IRQ","Iraq","Localized",
29/02/2020,"ITA","Italy","Localized",
29/02/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
29/02/2020,"PAK","Pakistan","Localized",
29/02/2020,"SMR","San Marino","National",
29/02/2020,"USA","United States of America","Localized",
29/02/2020,"VNM","Viet Nam","Localized",
01/03/2020,"BHR","Bahrain","National",
01/03/2020,"CHN","China","National",
01/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
01/03/2020,"IRN","Iran (Islamic Republic of)","National",
01/03/2020,"IRQ","Iraq","Localized",
01/03/2020,"ITA","Italy","Localized",
01/03/2020,"KWT","Kuwait","National",
01/03/2020,"MNG","Mongolia","National","The government mandated school closures on 27 January "
01/03/2020,"PAK","Pakistan","Localized",
01/03/2020,"SMR","San Marino","National",
01/03/2020,"USA","United States of America","Localized",
01/03/2020,"VNM","Viet Nam","Localized",
02/03/2020,"ARM","Armenia","National",
02/03/2020,"BHR","Bahrain","National",
02/03/2020,"CHN","China","National",
02/03/2020,"GBR","United Kingdom of Great Britain and Northern Ireland","Localized",
02/03/2020,"GEO","Georgia","National",
